user_id,accuracy
5,0.889
12,0.778
19,0.500
24,0.822
31,0.400
52,0.422
62,0.478
63,0.533
68,0.556
69,0.856
70,0.256
71,0.444
78,0.389
80,0.411
90,0.878
92,0.233
93,0.656
105,0.411
106,0.478
109,0.333
118,0.211
125,0.256
131,0.267
139,0.478
140,0.478
148,0.500
149,0.344
151,0.356
154,0.522
156,0.500
165,0.222
169,0.578
175,0.544
176,0.256
180,0.267
181,0.356
183,0.433
188,0.267
189,0.467
196,0.189
207,0.544
210,0.511
233,0.922
235,0.400
239,0.833
240,0.211
251,0.256
254,0.256
258,0.356
265,0.378
275,0.356
279,0.267
280,0.244
286,0.389
292,0.967
296,0.689
298,0.989
300,0.556
301,0.511
304,0.367
307,0.856
309,0.433
314,0.378
315,0.267
318,0.256
327,0.500
331,0.500
333,0.244
334,0.233
337,0.433
341,0.333
343,0.500
345,0.789
351,0.500
353,0.511
355,0.989
365,0.667
370,0.433
371,0.400
381,0.400
386,0.333
388,0.822
391,0.589
392,0.556
393,0.322
395,0.244
398,0.311
407,0.400
408,0.267
414,0.267
416,0.867
421,0.522
428,0.378
431,0.333
440,0.222
442,0.500
443,0.367
446,0.433
447,0.978
455,0.289
459,0.644
478,0.233
481,0.444
492,0.511
493,0.422
497,0.478
504,0.256
510,0.456
512,0.200
523,0.422
526,0.578
530,0.322
532,0.311
535,0.289
537,0.367
542,0.278
543,0.467
546,0.444
549,0.478
559,0.444
564,0.222
566,0.511
569,0.356
572,0.256
575,0.422
578,0.422
587,0.200
588,0.733
589,0.456
597,0.344
606,0.300
608,0.333
624,0.389
639,0.222
647,0.356
649,0.322
656,0.867
666,0.689
673,1.000
674,0.467
692,0.356
701,0.444
702,0.356
705,0.344
706,0.344
708,0.244
712,0.244
717,0.289
721,0.633
733,0.311
734,0.644
739,0.389
745,0.311
746,0.378
748,0.233
751,0.322
769,0.356
774,0.267
779,0.378
794,0.311
817,0.433
820,0.633
824,0.400
829,0.356
841,0.367
845,0.344
846,0.289
877,0.489
891,0.644
899,0.544
900,0.433
903,0.478
904,0.289
911,0.467
913,0.356
919,0.400
922,0.556
937,0.322
955,0.478
960,0.311
963,0.411
967,0.400
974,0.456
990,0.322
991,0.411
1002,0.422
1009,0.222
1012,0.833
1018,0.300
1019,0.300
1026,0.233
1027,0.367
1028,0.356
1031,0.767
1032,0.267
1033,0.256
1035,0.433
1039,0.478
1040,0.311
1043,0.356
1046,0.311
1056,0.456
1066,0.822
1073,0.378
1077,0.589
1086,0.378
1087,0.611
1096,0.789
1102,0.344
1112,0.356
1122,0.333
1131,0.567
1135,0.556
1140,0.289
1144,0.222
1145,0.889
1154,0.422
1158,0.289
1159,0.233
1162,0.378
1163,0.278
1165,0.300
1180,0.100
1184,0.489
1186,0.322
1191,0.822
1196,0.222
1207,0.556
1213,0.544
1214,0.411
1218,0.500
1219,0.367
1222,0.578
1231,0.367
1232,0.211
1234,0.500
1235,0.278
1237,0.989
1238,0.589
1244,0.567
1250,0.489
1255,0.789
1257,0.422
1258,0.300
1263,0.500
1276,0.311
1282,0.389
1283,0.378
1294,0.333
1300,0.233
1303,0.767
1306,0.400
1307,0.244
1314,0.233
1322,0.856
1328,0.556
1330,0.456
1338,0.267
1340,1.000
1351,0.367
1353,0.311
1354,0.311
1359,0.544
1362,0.422
1372,0.322
1373,0.244
1376,0.222
1382,0.333
1387,0.289
1389,0.333
1395,0.333
1398,0.322
1400,0.356
1406,0.233
1413,0.333
1416,0.478
1423,0.478
1432,0.478
1444,0.422
1449,0.278
1450,0.256
1455,0.278
1457,0.333
1462,0.267
1470,0.500
1473,0.422
1478,0.356
1486,0.878
1488,0.500
1494,0.533
1496,0.222
1497,0.422
1500,0.422
1509,0.233
1511,0.211
1514,0.544
1518,0.289
1519,0.556
1528,0.389
1533,0.411
1543,0.322
1560,0.356
1562,0.722
1565,0.556
1568,0.322
1573,0.289
1581,0.478
1583,0.478
1586,0.533
1588,0.356
1589,0.578
1596,0.256
1597,0.822
1600,0.511
1604,0.300
1611,0.511
1613,0.511
1614,0.422
1618,0.400
1628,0.211
1631,0.267
1641,0.222
1642,0.411
1648,0.456
1659,0.511
1662,0.300
1664,0.611
1665,0.467
1667,0.344
1676,0.478
1677,0.467
1686,0.256
1689,0.422
1691,0.244
1708,0.322
1709,0.922
1712,0.367
1714,0.567
1716,0.444
1718,0.489
1722,0.211
1724,0.400
1728,0.267
1732,0.322
1738,0.444
1750,0.322
1758,0.278
1759,0.456
1767,0.333
1769,0.444
1779,0.578
1781,0.311
1785,0.322
1796,0.211
1804,0.356
1813,0.444
1815,0.389
1816,0.278
Average,0.430
