Hyperparameters,Count of Best,Average Accuracy
"max_depth=2, min_samples_split=2",35,0.37399130974549966
"max_depth=2, min_samples_split=3",28,0.37725015518311605
"max_depth=2, min_samples_split=4",29,0.3834574798261949
"max_depth=2, min_samples_split=5",32,0.3716635630043451
"max_depth=2, min_samples_split=6",20,0.38066418373680944
"max_depth=2, min_samples_split=7",25,0.3770949720670391
"max_depth=3, min_samples_split=2",12,0.3466790813159528
"max_depth=3, min_samples_split=3",10,0.3629733085040347
"max_depth=3, min_samples_split=4",7,0.3558348851644941
"max_depth=3, min_samples_split=5",13,0.3618870266914959
"max_depth=3, min_samples_split=6",11,0.35692116697703286
"max_depth=3, min_samples_split=7",7,0.3496275605214153
"max_depth=4, min_samples_split=2",8,0.33643699565487273
"max_depth=4, min_samples_split=3",9,0.34698944754810673
"max_depth=4, min_samples_split=4",7,0.345592799503414
"max_depth=4, min_samples_split=5",7,0.35273122284295466
"max_depth=4, min_samples_split=6",2,0.33628181253879574
"max_depth=4, min_samples_split=7",11,0.35086902545003107
"max_depth=5, min_samples_split=2",8,0.3263500931098697
"max_depth=5, min_samples_split=3",4,0.3336436995654873
"max_depth=5, min_samples_split=4",9,0.33566108007448786
"max_depth=5, min_samples_split=5",4,0.3341092489137182
"max_depth=5, min_samples_split=6",11,0.33985102420856605
"max_depth=5, min_samples_split=7",3,0.33643699565487273
"max_depth=6, min_samples_split=2",3,0.32293606455617624
"max_depth=6, min_samples_split=3",7,0.3148665425201738
"max_depth=6, min_samples_split=4",2,0.31797020484171323
"max_depth=6, min_samples_split=5",4,0.324487895716946
"max_depth=6, min_samples_split=6",4,0.3263500931098696
"max_depth=6, min_samples_split=7",4,0.3288330229671012
"max_depth=7, min_samples_split=2",5,0.32433271260086904
"max_depth=7, min_samples_split=3",5,0.3170391061452514
"max_depth=7, min_samples_split=4",2,0.3216945996275605
"max_depth=7, min_samples_split=5",2,0.31688392302917445
"max_depth=7, min_samples_split=6",4,0.3235567970204842
"max_depth=7, min_samples_split=7",4,0.32479826194909994
