k,Count of Best k,Average Accuracy
1,10,0.3291433891992551
2,4,0.31517690875232773
3,5,0.33131595282433274
4,6,0.3567659838609559
5,8,0.3769397889509622
6,5,0.3800434512725016
7,4,0.3812849162011173
8,6,0.39137181874612054
9,4,0.3823711980136561
10,3,0.3854748603351955
11,3,0.38485412787088763
12,5,0.393544382371198
13,5,0.3878026070763501
14,4,0.3964928615766604
15,6,0.39913097454996904
16,3,0.3898199875853507
17,6,0.40021725636250777
18,6,0.39913097454996893
19,3,0.3955617628801986
20,3,0.4072004965859714
21,11,0.40378646803227813
22,6,0.4092178770949721
23,6,0.398975791433892
24,3,0.40456238361266295
25,1,0.4087523277467411
26,6,0.4152700186219739
27,1,0.3921477343265053
28,2,0.4123215394165115
29,5,0.41604593420235875
30,6,0.41014897579143395
31,4,0.4053382991930478
32,4,0.41371818746120426
33,4,0.4028553693358163
34,3,0.41433891992551214
35,5,0.4087523277467412
36,1,0.4115456238361266
37,4,0.40968342644320305
38,2,0.4141837368094351
39,6,0.4154252017380509
40,2,0.4065797641216635
41,5,0.4130974549968963
42,10,0.4123215394165115
43,3,0.40394165114835506
44,3,0.41449410304158907
45,4,0.4186840471756674
46,4,0.41402855369335817
47,2,0.41154562383612664
48,5,0.41480446927374304
49,3,0.419925512104283
50,5,0.41682184978274367
51,7,0.4130974549968963
52,3,0.41558038485412785
53,2,0.3983550589695841
54,5,0.41402855369335817
55,4,0.4140285536933581
56,4,0.41480446927374304
57,4,0.4112352576039726
58,3,0.40968342644320294
59,3,0.40689013035381755
60,2,0.4158907510862819
61,6,0.4177529484792054
62,2,0.4123215394165115
63,5,0.4211669770328988
64,3,0.40611421477343274
65,4,0.4087523277467411
66,6,0.41868404717566726
67,2,0.41092489137181876
68,3,0.41480446927374304
69,3,0.40859714463066416
70,5,0.41682184978274356
71,2,0.41899441340782123
72,4,0.41170080695220357
73,3,0.41092489137181876
74,4,0.40425201738050903
75,2,0.41558038485412785
76,4,0.4118559900682806
77,1,0.41635630043451277
78,2,0.4177529484792054
79,1,0.4073556797020484
80,4,0.4103041589075109
81,1,0.41045934202358786
82,2,0.41030415890751076
83,4,0.41154562383612664
84,1,0.4076660459342024
85,1,0.40440720049658596
86,1,0.41247672253258844
87,0,0.40270018621973924
88,2,0.41092489137181876
89,2,0.40626939788950966
90,2,0.4092178770949721
91,1,0.4075108628181253
92,2,0.40564866542520167
93,1,0.4076660459342024
94,1,0.4053382991930478
95,1,0.4054934823091248
96,3,0.4054934823091248
97,1,0.4127870887647424
98,0,0.40813159528243326
99,1,0.4065797641216635
100,3,0.4138733705772812
