Hyperparameters,Count of Best,Average Accuracy
"max_depth=1, min_samples_split=1",34,0.39664804469273734
"max_depth=1, min_samples_split=2",33,0.4006828057107387
"max_depth=1, min_samples_split=3",35,0.40456238361266295
"max_depth=1, min_samples_split=4",18,0.40549348230912474
"max_depth=1, min_samples_split=5",24,0.40549348230912474
"max_depth=1, min_samples_split=6",20,0.39618249534450645
"max_depth=2, min_samples_split=1",9,0.37600869025450034
"max_depth=2, min_samples_split=2",11,0.38252638112973314
"max_depth=2, min_samples_split=3",15,0.3781812538795779
"max_depth=2, min_samples_split=4",15,0.3819056486654252
"max_depth=2, min_samples_split=5",15,0.3750775915580385
"max_depth=2, min_samples_split=6",10,0.3747672253258846
"max_depth=3, min_samples_split=1",6,0.3629733085040348
"max_depth=3, min_samples_split=2",10,0.3659217877094972
"max_depth=3, min_samples_split=3",9,0.36793916821849787
"max_depth=3, min_samples_split=4",4,0.3590937306021105
"max_depth=3, min_samples_split=5",7,0.35505896958410926
"max_depth=3, min_samples_split=6",5,0.35847299813780253
"max_depth=4, min_samples_split=1",5,0.3434202358783364
"max_depth=4, min_samples_split=2",4,0.3389199255121043
"max_depth=4, min_samples_split=3",6,0.345903165735568
"max_depth=4, min_samples_split=4",8,0.3361266294227188
"max_depth=4, min_samples_split=5",6,0.3445065176908752
"max_depth=4, min_samples_split=6",2,0.33162631905648665
"max_depth=5, min_samples_split=1",4,0.329608938547486
"max_depth=5, min_samples_split=2",0,0.3341092489137182
"max_depth=5, min_samples_split=3",4,0.3272811918063314
"max_depth=5, min_samples_split=4",3,0.32340161390440725
"max_depth=5, min_samples_split=5",7,0.3398510242085661
"max_depth=5, min_samples_split=6",1,0.3269708255741775
"max_depth=6, min_samples_split=1",4,0.32076350093109873
"max_depth=6, min_samples_split=2",6,0.3291433891992551
"max_depth=6, min_samples_split=3",7,0.32821229050279327
"max_depth=6, min_samples_split=4",5,0.3198324022346369
"max_depth=6, min_samples_split=5",6,0.3196772191185599
"max_depth=6, min_samples_split=6",0,0.3310055865921787
