k,Count of Best k,Average Accuracy
1,12,0.3292985723153321
2,4,0.32122905027932963
3,5,0.34512725015518314
4,5,0.3696461824953445
5,13,0.37678460583488516
6,9,0.3715083798882682
7,3,0.37957790192427066
8,8,0.3800434512725015
9,12,0.3857852265673495
10,9,0.3890440720049658
11,12,0.3921477343265053
12,5,0.38330229671011795
13,7,0.3890440720049658
14,5,0.3888888888888889
15,10,0.39726877715704534
16,7,0.40037243947858475
17,10,0.3971135940409684
18,13,0.4005276225946618
19,9,0.4036312849162011
20,4,0.40471756672873993
21,8,0.40347610180012417
22,4,0.39897579143389195
23,9,0.3981998758535071
24,7,0.40689013035381755
25,7,0.40813159528243326
26,11,0.4000620732464308
27,6,0.4000620732464308
28,10,0.4058038485412787
29,6,0.40859714463066416
30,3,0.3981998758535071
31,4,0.40238981998758533
32,10,0.4196151458721291
33,9,0.40394165114835506
34,5,0.4090626939788951
35,8,0.4005276225946616
36,7,0.4058038485412787
37,5,0.409373060211049
38,4,0.39990689013035385
39,6,0.40813159528243326
40,5,0.4113904407200497
41,10,0.41402855369335817
42,5,0.4037864680322781
43,10,0.4115456238361266
44,6,0.41713221601489753
45,7,0.40906269397889505
46,6,0.4081315952824332
47,1,0.4177529484792054
48,5,0.4154252017380509
49,6,0.41728739913097446
50,6,0.41558038485412785
